Price,SMA20,SMA50,RSI,MACD,MACD_Signal
Ticker,,,,,
Date,,,,,
2020-03-13,70.92300682067871,74.02590789794922,45.24158338717292,-2.6531576045929626,-2.0305660099881586
2020-03-16,69.92035884857178,73.74753746032715,36.847040170879445,-3.21564197399654,-2.267581202789835
2020-03-17,69.11887130737304,73.53491012573242,40.39424480256369,-3.413785351034676,-2.4968220324388035
2020-03-18,68.18638687133789,73.28081817626953,39.02231231630862,-3.6497984255680933,-2.7274173110646616
2020-03-19,67.27123165130615,73.02438301086426,38.591331032159935,-3.82965660994779,-2.947865170841287
2020-03-20,66.25561714172363,72.66941040039063,35.15349559543472,-4.227373018693385,-3.203766740411707
2020-03-23,65.36118259429932,72.25968925476074,34.127448152869306,-4.584955034135298,-3.4800043991564253
2020-03-24,64.8619192123413,71.95569450378417,42.48378971465055,-4.377660109766367,-3.659535541278414
2020-03-25,64.29079475402833,71.61304656982422,42.135998084268834,-4.19165588943914,-3.7659596109105595
2020-03-26,64.10805416107178,71.35372200012208,46.6077316855197,-3.7483668569391,-3.762441060116268
2020-03-27,63.79758968353271,71.04901145935058,43.60244924446159,-3.5652149970938183,-3.722995847511778
2020-03-30,63.2643949508667,70.75971122741699,46.076595696129296,-3.244401182878491,-3.627276914585121
2020-03-31,62.839898681640626,70.45101425170898,45.91704448903135,-2.96613146395849,-3.495047824459795
2020-04-01,62.09063835144043,70.08790618896484,41.896872082209846,-2.972996234537952,-3.390637506475427
2020-04-02,61.50909194946289,69.73881973266602,43.4975161989141,-2.866772653387301,-3.285864535857802
2020-04-03,60.93203010559082,69.36527236938477,42.39616725878193,-2.8189343447593274,-3.192478497638107
2020-04-06,60.88719291687012,69.09825622558594,50.47552545013236,-2.3421628359403073,-3.022415365298547
2020-04-07,60.573213768005374,68.86176719665528,49.398462071721426,-2.00070722853944,-2.818073737946726
2020-04-08,60.45978908538818,68.61519996643067,51.81690778920293,-1.5820081461821616,-2.5708606195938133
2020-04-09,60.69924259185791,68.34578086853027,52.5234911442187,-1.1988184678118472,-2.29645218923742
2020-04-13,60.642045402526854,68.10413078308106,54.49236489358188,-0.7832431859073665,-1.9938103885714094
2020-04-14,61.18541831970215,67.99881416320801,59.26531410078754,-0.181919937532804,-1.6314322983636884
2020-04-15,61.5679853439331,67.88490821838379,58.02114104056542,0.2406230292874625,-1.2570212328334585
2020-04-16,62.05294933319092,67.73268043518067,58.82413549081485,0.6126253720042172,-0.8830919118659233
2020-04-17,62.5136775970459,67.54902381896973,56.80973650214184,0.8218912284448407,-0.5420952838037705
2020-04-20,63.09158802032471,67.31873237609864,53.81496133395136,0.8629922816632387,-0.26107777071036864
2020-04-21,63.62478370666504,67.06832481384278,49.70038445540948,0.7198635088228116,-0.06488951480373262
2020-04-22,63.97887344360352,66.84801872253418,53.181578311505625,0.7489705012217627,0.09788248840136646
2020-04-23,64.33647785186767,66.63192970275878,52.638512517651584,0.7425531039042141,0.22681661150193602
2020-04-24,64.63373413085938,66.41753700256348,56.21185459369571,0.8825722411955184,0.35796773744065247
2020-04-27,65.06307716369629,66.2154076385498,56.30127156094597,0.9860819488424539,0.4835905797210128
2020-04-28,65.35112380981445,65.9906420135498,53.59576017320333,0.9672013009472664,0.5803127239662635
2020-04-29,65.75635166168213,65.83906944274902,57.935312233485526,1.118288934978466,0.6879079661687041
2020-04-30,66.39727573394775,65.69452522277832,60.56964684614623,1.3412735332955492,0.8185810795940731
2020-05-01,66.93216648101807,65.54314659118653,57.545367221613645,1.4092430838645527,0.9367134804481692
2020-05-04,67.55927639007568,65.44673530578613,59.43163683213589,1.52551104877152,1.0544729941128392
2020-05-05,67.98449878692627,65.4437297821045,61.41760948480316,1.684286452367374,1.1804356857637464
2020-05-06,68.4837631225586,65.50456260681152,62.78649405687639,1.8488439390507665,1.3141173364211505
2020-05-07,68.94024887084962,65.5583177947998,64.17317491874694,2.0168273610695877,1.454659341350838
2020-05-08,69.4610767364502,65.73984382629395,67.23020566837207,2.2652291108680345,1.6167732952542773
2020-05-11,69.9774616241455,65.94586463928222,69.14901538148251,2.528636477390947,1.7991459316816112
2020-05-12,70.28287277221679,66.01102546691895,66.07523664870304,2.636401350914852,1.9665970155282595
2020-05-13,70.57434539794922,66.10391151428223,62.92902976210068,2.6178975634687873,2.0968571251163652
2020-05-14,70.86139793395996,66.14093406677246,63.8605723575165,2.610207012156735,2.1995271025244394
2020-05-15,71.17335319519043,66.21666175842284,62.23001263462724,2.5389590614877022,2.267413494317092
2020-05-18,71.64453430175782,66.34648307800293,65.94033442975612,2.594752152031873,2.3328812258600484
2020-05-19,72.1973316192627,66.57826606750488,64.23447104030723,2.5736129772202787,2.3810275761320945
2020-05-20,72.73045501708984,66.74672721862792,67.28435884391817,2.6457819256443003,2.4339784460345357
2020-05-21,73.24762496948242,66.95165641784668,64.95318252922925,2.6260336530157815,2.4723894874307852
2020-05-22,73.69336585998535,67.2983455657959,66.03929923866554,2.6201833100644336,2.501948251957515
2020-05-26,74.11043891906738,67.49038047790528,63.7854244936265,2.543868126150386,2.510332226796089
2020-05-27,74.59990005493164,67.86245849609375,64.61627325026079,2.4818374301342487,2.504633267463721
2020-05-28,74.98018341064453,68.18359428405762,64.7048011039644,2.407670464066399,2.485240706784257
2020-05-29,75.28314361572265,68.53322792053223,64.32128876575699,2.3161151606767305,2.451415597562752
2020-06-01,75.69093246459961,68.9110269165039,66.97981071253687,2.2937889877370736,2.4198902755976164
2020-06-02,76.0672622680664,69.37139335632324,67.95954155946708,2.2790410751225068,2.3917204355025947
